time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
6,0,0,1,100011100,0,0,0,1,0,0,0,1,1,1,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0, 
7,0,0,1,100010011,0,0,0,1,0,0,0,1,0,0,1,1,0,0,-113,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1, 
8,0,0,1,100001011,0,0,0,1,0,0,0,0,1,0,1,1,0,0,-169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,-22,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0, 
9,0,0,1,100000011,0,0,0,1,0,0,0,0,0,0,1,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,-209,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1, 
10,0,0,1,11111010,0,0,0,0,1,1,1,1,1,0,1,0,0,0,161,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1, 
11,0,0,1,11110010,0,0,0,0,1,1,1,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,253,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1, 
12,0,0,1,11101010,0,0,0,0,1,1,1,0,1,0,1,0,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1, 
13,0,0,1,11100010,0,0,0,0,1,1,1,0,0,0,1,0,0,0,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,-182,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0, 
14,0,0,1,11011011,0,0,0,0,1,1,0,1,1,0,1,1,0,0,199,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1, 
15,0,0,1,11010011,0,0,0,0,1,1,0,1,0,0,1,1,0,0,89,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0, 
16,0,0,1,11001100,0,0,0,0,1,1,0,0,1,1,0,0,0,0,-146,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1, 
17,0,0,1,11000100,0,0,0,0,1,1,0,0,0,1,0,0,0,0,-82,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0, 
18,0,0,1,10111101,0,0,0,0,1,0,1,1,1,1,0,1,0,0,113,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,-161,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1, 
19,0,0,1,11010110,0,0,0,0,1,1,0,1,0,1,1,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1, 
20,0,0,1,10101111,0,0,0,0,1,0,1,0,1,1,1,1,0,0,-39,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,189,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1, 
21,0,0,1,10101000,0,0,0,0,1,0,1,0,1,0,0,0,0,0,-178,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,-50,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0, 
22,0,0,1,10100001,0,0,0,0,1,0,1,0,0,0,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,-226,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0, 
23,0,0,1,10011011,0,0,0,0,1,0,0,1,1,0,1,1,0,0,192,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1, 
24,0,0,1,10010100,0,0,0,0,1,0,0,1,0,1,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,194,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0, 
25,0,0,1,10001110,0,0,0,0,1,0,0,0,1,1,1,0,0,0,-219,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, 
26,0,0,1,10001000,0,0,0,0,1,0,0,0,1,0,0,0,0,0,-48,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0, 
27,0,0,1,10000001,0,0,0,0,1,0,0,0,0,0,0,1,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
28,0,0,1,1111011,0,0,0,0,0,1,1,1,1,0,1,1,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,117,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1, 
29,0,0,1,1110110,0,0,0,0,0,1,1,1,0,1,1,0,0,0,-114,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
30,0,0,1,1110000,0,0,0,0,0,1,1,1,0,0,0,0,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,-78,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0, 
31,0,0,1,1101010,0,0,0,0,0,1,1,0,1,0,1,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,-185,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,1, 
32,0,0,1,1100101,0,0,0,0,0,1,1,0,0,1,0,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1, 
33,0,0,1,1100000,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,180,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0, 
34,0,0,1,1011010,0,0,0,0,0,1,0,1,1,0,1,0,0,0,-222,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,-47,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1, 
35,0,0,1,1010101,0,0,0,0,0,1,0,1,0,1,0,1,0,0,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,-193,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1, 
36,0,0,1,1010000,0,0,0,0,0,1,0,1,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0, 
37,0,0,1,1001100,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1, 
