time unit: s, fft_wrapper:inst|sink_sop, fft_wrapper:inst|sink_eop, CLOCK_50, fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11..0], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[11], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[10], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[9], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[8], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[7], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[6], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[5], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[4], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[3], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[2], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[1], fft_wrapper:inst|control_for_fft:control_for_fft_longer_inst|insignal[0], fft_wrapper:inst|fft:fft_inst|source_sop, fft_wrapper:inst|fft:fft_inst|source_eop, fft_wrapper:inst|real_power[17..0], fft_wrapper:inst|real_power[17], fft_wrapper:inst|real_power[16], fft_wrapper:inst|real_power[15], fft_wrapper:inst|real_power[14], fft_wrapper:inst|real_power[13], fft_wrapper:inst|real_power[12], fft_wrapper:inst|real_power[11], fft_wrapper:inst|real_power[10], fft_wrapper:inst|real_power[9], fft_wrapper:inst|real_power[8], fft_wrapper:inst|real_power[7], fft_wrapper:inst|real_power[6], fft_wrapper:inst|real_power[5], fft_wrapper:inst|real_power[4], fft_wrapper:inst|real_power[3], fft_wrapper:inst|real_power[2], fft_wrapper:inst|real_power[1], fft_wrapper:inst|real_power[0], fft_wrapper:inst|imag_power[17..0], fft_wrapper:inst|imag_power[17], fft_wrapper:inst|imag_power[16], fft_wrapper:inst|imag_power[15], fft_wrapper:inst|imag_power[14], fft_wrapper:inst|imag_power[13], fft_wrapper:inst|imag_power[12], fft_wrapper:inst|imag_power[11], fft_wrapper:inst|imag_power[10], fft_wrapper:inst|imag_power[9], fft_wrapper:inst|imag_power[8], fft_wrapper:inst|imag_power[7], fft_wrapper:inst|imag_power[6], fft_wrapper:inst|imag_power[5], fft_wrapper:inst|imag_power[4], fft_wrapper:inst|imag_power[3], fft_wrapper:inst|imag_power[2], fft_wrapper:inst|imag_power[1], fft_wrapper:inst|imag_power[0], 
0, X, X, X, XXXXXXXXXXXX, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, X, 
337,0,0,1,11111000101,0,1,1,1,1,1,0,0,0,1,0,1,0,0,-5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1, 
338,0,0,1,11111000011,0,1,1,1,1,1,0,0,0,0,1,1,0,0,141,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, 
339,0,0,1,11111000001,0,1,1,1,1,1,0,0,0,0,0,1,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,114,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0, 
340,0,0,1,11110111111,0,1,1,1,1,0,1,1,1,1,1,1,0,0,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0, 
341,0,0,1,11110111100,0,1,1,1,1,0,1,1,1,1,0,0,0,0,-107,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,-70,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0, 
342,0,0,1,11110111010,0,1,1,1,1,0,1,1,1,0,1,0,0,0,146,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0, 
343,0,0,1,11110110111,0,1,1,1,1,0,1,1,0,1,1,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,129,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1, 
344,0,0,1,11110110100,0,1,1,1,1,0,1,1,0,1,0,0,0,0,-110,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,217,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1, 
345,0,0,1,11110110010,0,1,1,1,1,0,1,1,0,0,1,0,0,0,-132,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,-127,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1, 
346,0,0,1,11110101110,0,1,1,1,1,0,1,0,1,1,1,0,0,0,82,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0, 
347,0,0,1,11110101011,0,1,1,1,1,0,1,0,1,0,1,1,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,105,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1, 
348,0,0,1,11110101000,0,1,1,1,1,0,1,0,1,0,0,0,0,0,-7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0, 
349,0,0,1,11110100100,0,1,1,1,1,0,1,0,0,1,0,0,0,0,-157,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0, 
350,0,0,1,11110100001,0,1,1,1,1,0,1,0,0,0,0,1,0,0,-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,-126,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0, 
351,0,0,1,11110011101,0,1,1,1,1,0,0,1,1,1,0,1,0,0,160,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-76,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0, 
352,0,0,1,11110011001,0,1,1,1,1,0,0,1,1,0,0,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,94,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0, 
353,0,0,1,11110010101,0,1,1,1,1,0,0,1,0,1,0,1,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1, 
354,0,0,1,11110010001,0,1,1,1,1,0,0,1,0,0,0,1,0,0,-128,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,-133,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1, 
355,0,0,1,11110001100,0,1,1,1,1,0,0,0,1,1,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,-182,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0, 
356,0,0,1,11110001000,0,1,1,1,1,0,0,0,1,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,151,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1, 
357,0,0,1,11110000011,0,1,1,1,1,0,0,0,0,0,1,1,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,168,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0, 
358,0,0,1,11101111111,0,1,1,1,0,1,1,1,1,1,1,1,0,0,-197,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,-98,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0, 
359,0,0,1,11101111010,0,1,1,1,0,1,1,1,1,0,1,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,-129,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1, 
360,0,0,1,11101110101,0,1,1,1,0,1,1,1,0,1,0,1,0,0,204,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0, 
361,0,0,1,11101101111,0,1,1,1,0,1,1,0,1,1,1,1,0,0,-8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0, 
362,0,0,1,11101101010,0,1,1,1,0,1,1,0,1,0,1,0,0,0,-145,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,49,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1, 
363,0,0,1,11101100101,0,1,1,1,0,1,1,0,0,1,0,1,0,0,-12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,-138,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0, 
364,0,0,1,11101011111,0,1,1,1,0,1,0,1,1,1,1,1,0,0,123,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,-135,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1, 
365,0,0,1,11101011001,0,1,1,1,0,1,0,1,1,0,0,1,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
366,0,0,1,11101010100,0,1,1,1,0,1,0,1,0,1,0,0,0,0,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0, 
367,0,0,1,11101001110,0,1,1,1,0,1,0,0,1,1,1,0,0,0,-188,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0, 
368,0,0,1,11101000111,0,1,1,1,0,1,0,0,0,1,1,1,0,0,65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-168,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0, 
369,0,0,1,11101000001,0,1,1,1,0,1,0,0,0,0,0,1,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 
370,0,0,1,11100111011,0,1,1,1,0,0,1,1,1,0,1,1,0,0,-100,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,152,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0, 
371,0,0,1,11100110100,0,1,1,1,0,0,1,1,0,1,0,0,0,0,-211,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,-29,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1, 
372,0,0,1,11100101110,0,1,1,1,0,0,1,0,1,1,1,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1, 
373,0,0,1,11100100111,0,1,1,1,0,0,1,0,0,1,1,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,-32,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0, 
374,0,0,1,11100100000,0,1,1,1,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,170,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0, 
375,0,0,1,11100011001,0,1,1,1,0,0,0,1,1,0,0,1,0,0,-96,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0, 
376,0,0,1,11100010010,0,1,1,1,0,0,0,1,0,0,1,0,0,0,-84,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,-146,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0, 
377,0,0,1,11100001011,0,1,1,1,0,0,0,0,1,0,1,1,0,0,137,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-73,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1, 
378,0,0,1,11100000011,0,1,1,1,0,0,0,0,0,0,1,1,0,0,194,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
379,0,0,1,11011111100,0,1,1,0,1,1,1,1,1,1,0,0,0,0,-87,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,128,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0, 
380,0,0,1,11011110100,0,1,1,0,1,1,1,1,0,1,0,0,0,0,-210,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,-104,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0, 
381,0,0,1,11011101101,0,1,1,0,1,1,1,0,1,1,0,1,0,0,102,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,-205,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1, 
382,0,0,1,11011100101,0,1,1,0,1,1,1,0,0,1,0,1,0,0,183,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1, 
383,0,0,1,11011011101,0,1,1,0,1,1,0,1,1,1,0,1,0,0,-97,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,172,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0, 
384,0,0,1,11011010101,0,1,1,0,1,1,0,1,0,1,0,1,0,0,-162,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, 
385,0,0,1,11011001100,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1, 
386,0,0,1,11011000100,0,1,1,0,1,1,0,0,0,1,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0, 
387,0,0,1,11010111100,0,1,1,0,1,0,1,1,1,1,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
388,0,0,1,11011010011,0,1,1,0,1,1,0,1,0,0,1,1,0,0,-103,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,96,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0, 
389,0,0,1,11010101011,0,1,1,0,1,0,1,0,1,0,1,1,0,0,-174,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,-130,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0, 
390,0,0,1,11010100010,0,1,1,0,1,0,1,0,0,0,1,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,-121,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1, 
391,0,0,1,11010011001,0,1,1,0,1,0,0,1,1,0,0,1,0,0,211,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,81,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1, 
392,0,0,1,11010010000,0,1,1,0,1,0,0,1,0,0,0,0,0,0,-105,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,182,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0, 
393,0,0,1,11010000111,0,1,1,0,1,0,0,0,0,1,1,1,0,0,-148,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0, 
394,0,0,1,11001111110,0,1,1,0,0,1,1,1,1,1,1,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,-219,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1, 
395,0,0,1,11001110101,0,1,1,0,0,1,1,1,0,1,0,1,0,0,150,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0, 
396,0,0,1,11001101011,0,1,1,0,0,1,1,0,1,0,1,1,0,0,-11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,178,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0, 
397,0,0,1,11001100010,0,1,1,0,0,1,1,0,0,0,1,0,0,0,-142,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,-28,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0, 
398,0,0,1,11001011000,0,1,1,0,0,1,0,1,1,0,0,0,0,0,-91,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,-156,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0, 
399,0,0,1,11001001111,0,1,1,0,0,1,0,0,1,1,1,1,0,0,106,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,-52,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0, 
400,0,0,1,11001000101,0,1,1,0,0,1,0,0,0,1,0,1,0,0,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,99,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1, 
401,0,0,1,11000111011,0,1,1,0,0,0,1,1,1,0,1,1,0,0,-155,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,126,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0, 
402,0,0,1,11000110001,0,1,1,0,0,0,1,1,0,0,0,1,0,0,-176,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,-53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1, 
403,0,0,1,11000100111,0,1,1,0,0,0,1,0,0,1,1,1,0,0,121,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1, 
404,0,0,1,11000011101,0,1,1,0,0,0,0,1,1,1,0,1,0,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,78,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0, 
405,0,0,1,11000010011,0,1,1,0,0,0,0,1,0,0,1,1,0,0,-49,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,243,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1, 
406,0,0,1,11000001001,0,1,1,0,0,0,0,0,1,0,0,1,0,0,-141,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,-58,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0, 
407,0,0,1,10111111110,0,1,0,1,1,1,1,1,1,1,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,-197,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1, 
408,0,0,1,10111110100,0,1,0,1,1,1,1,1,0,1,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1, 
409,0,0,1,10111101010,0,1,0,1,1,1,1,0,1,0,1,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,125,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1, 
410,0,0,1,10111011111,0,1,0,1,1,1,0,1,1,1,1,1,0,0,-148,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0, 
411,0,0,1,10111010100,0,1,0,1,1,1,0,1,0,1,0,0,0,0,-104,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
412,0,0,1,10111001010,0,1,0,1,1,1,0,0,1,0,1,0,0,0,131,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,-137,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1, 
413,0,0,1,10110111111,0,1,0,1,1,0,1,1,1,1,1,1,0,0,139,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,75,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1, 
414,0,0,1,10110110100,0,1,0,1,1,0,1,1,0,1,0,0,0,0,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1, 
415,0,0,1,10110101001,0,1,0,1,1,0,1,0,1,0,0,1,0,0,-173,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,1,-76,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0, 
416,0,0,1,10110011110,0,1,0,1,1,0,0,1,1,1,1,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,-214,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,0, 
417,0,0,1,10110010011,0,1,0,1,1,0,0,1,0,0,1,1,0,0,157,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,91,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1, 
418,0,0,1,10110001000,0,1,0,1,1,0,0,0,1,0,0,0,0,0,-17,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,209,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1, 
419,0,0,1,10101111101,0,1,0,1,0,1,1,1,1,1,0,1,0,0,-181,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,-39,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1, 
420,0,0,1,10101110001,0,1,0,1,0,1,1,1,0,0,0,1,0,0,-16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,-124,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0, 
421,0,0,1,10101100110,0,1,0,1,0,1,1,0,0,1,1,0,0,0,187,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,1,-23,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1, 
422,0,0,1,10101011011,0,1,0,1,0,1,0,1,1,0,1,1,0,0,74,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,97,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1, 
423,0,0,1,10101001111,0,1,0,1,0,1,0,0,1,1,1,1,0,0,-126,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1, 
424,0,0,1,10101000100,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-89,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,-99,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1, 
425,0,0,1,10100111000,0,1,0,1,0,0,1,1,1,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,-186,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0, 
426,0,0,1,10100101101,0,1,0,1,0,0,1,0,1,1,0,1,0,0,148,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,86,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0, 
427,0,0,1,10100100001,0,1,0,1,0,0,1,0,0,0,0,1,0,0,-55,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,192,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0, 
428,0,0,1,10100010110,0,1,0,1,0,0,0,1,0,1,1,0,0,0,-210,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,-106,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0, 
429,0,0,1,10100001010,0,1,0,1,0,0,0,0,1,0,1,0,0,0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-208,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0, 
430,0,0,1,10011111110,0,1,0,0,1,1,1,1,1,1,1,0,0,0,197,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1, 
431,0,0,1,10011110010,0,1,0,0,1,1,1,1,0,0,1,0,0,0,-26,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,154,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0, 
432,0,0,1,10011100110,0,1,0,0,1,1,1,0,0,1,1,0,0,0,-199,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1, 
433,0,0,1,10011011010,0,1,0,0,1,1,0,1,1,0,1,0,0,0,-10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,-104,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0, 
434,0,0,1,10011001111,0,1,0,0,1,1,0,0,1,1,1,1,0,0,135,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,-86,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0, 
435,0,0,1,10011000011,0,1,0,0,1,1,0,0,0,0,1,1,0,0,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,127,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1, 
436,0,0,1,10010110111,0,1,0,0,1,0,1,1,0,1,1,1,0,0,-62,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,169,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1, 
437,0,0,1,10010101011,0,1,0,0,1,0,1,0,1,0,1,1,0,0,-151,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,-123,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1, 
438,0,0,1,10010011111,0,1,0,0,1,0,0,1,1,1,1,1,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,-184,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0, 
439,0,0,1,10010010010,0,1,0,0,1,0,0,1,0,0,1,0,0,0,223,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,85,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1, 
440,0,0,1,10010000110,0,1,0,0,1,0,0,0,0,1,1,0,0,0,-36,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,158,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0, 
441,0,0,1,10001111010,0,1,0,0,0,1,1,1,1,0,1,0,0,0,-215,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,-50,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0, 
